id|producto|costo|codigo de barras|catidad|costo de compra|marca|
537|gelatina pronto uva 84gr|11|7501200482168|0|0|pronto|
538|blanqueador patitos|12|7501268200025|0|0||
539|leche entera santa clara 1l|21|7501295600126|0|0|santa clara|
540|jarritos/pi�a  2Lts|22|7501441604121|0|0||
541|jarrito tamarindo 2lt|22|7501441604213|0|0|pepsi|
542|jarrito rojo 2lt|22|7501441604411|0|0|pepsi|
543|jarrito mandarina 600ml|11|7501441610115|0|0|pepsi|
544|jarrito rojo 600ml|11|7501441610412|0|0|pepsi|
545|jarrito toronjita 2lt|22|7501441611112|0|0|pepsi|
546|jarrito mandarina 3lt|27|7501441615110|0|0|pepsi|
547|jarrito tamarindo 3lt|28|7501441615219|0|0|pepsi|
548|jarrito rojo 3lt|28|7501441615417|0|0|pepsi|
549|sangria casera 600ml|11|7501505630073|0|0|pepsi|
550|aluplus 7,5mts|35|7501590612398|0|0|aluplus|
551|frijol negro abeto 900gr|25|7501668800177|0|0|abeto|
552|frijol flor de mayo abeto 900gr|23|7501668801501|0|0|abeto|
553|hot cakes 850gr|28|7501761869156|0|0||
554|aloe "Natural" durazno 500ml|17|7502254753921|0|0||
555|aloe "Natural" lichi 500ml|17|7502254753969|0|0||
556|aloe "Natural" mora azul 500ml|17|7502254754041|0|0||
557|reactor energy sport 473ml|18|7502254755291|0|0||
558|reactor max energy|18|7502254755314|0|0||
559|buenatole chocolate 50gr|4|7502261260795|0|0||
560|buenatole fresa 50gr|4|7502261260801|0|0||
561|buenatole vainilla 50gr|4|7502261260818|0|0||
562|buenatole nuez 50gr|4|7502261260825|0|0||
563|gel xtreme|13|7503002163023|0|0||
564|red cola 600ml|9|7503006897016|0|7,66||
565|elte te negro 600ml|9|7503006897313|0|0||
566|elte te verde limon 600 ml|9|7503006897344|0|0||
567|saborizante vainilla LS 125ml|10|7503009023092|0|0||
568|bonafina naranja 1,87L|25|7503018985909|0|0||
569|bonafina/naranja  450ml|10|7503023907002|0|0||
570|trident menta|10|7506105606053|0|0||
571|snikers 52,7g|15|7506174500207|0|0||
572|milkyway 52,3g|15|7506174500214|0|0||
573|m&m`s 47,8g|15|7506174500467|0|0||
574|fruti max jamaica 7g|4|7506192503846|0|0||
575|fruti max mango 7g|4|7506192503860|0|0||
576|vive 100 500ml|13|7506192505918|0|0||
577|vitaloe 320ml|13|7506192506816|0|0||
578|vive 100 verde 300ml|10|7506192506854|0|0||
579|vive 100 morado 500ml|13|7506192506953|0|0||
580|amper  473ml|15|7506192507349|0|13,5||
581|vive 100ginseng 500ml|13|7506192507417|0|0||
582|aloe ya 500ml|13|7506192507455|0|0||
583|sabifrut sabor naranja 15g|5|7506192507493|0|0||
584|sabifrut sabor jamaica 15g|5|7506192507516|0|0||
585|sabifrut sabor limon 15g|5|7506192507530|0|0||
586|shampoo pantene 100ml|12|7506195160466|0|0||
587|shampoo sedal rizos definidos|40|7506306237421|0|0||
588|jabon zest aqua vitamina/glicerina|12|7506306238336|0|0||
589|jabon zest sabila/pepino|12|7506306238398|0|0||
590|jabon zest neutro|12|7506306238428|0|0||
591|crema knorr queso chipo 500ml|20|7506306311831|0|0||
592|caldo de pollo knork 370g |38|7506306313057|0|0||
593|atole maizena galleta 47gr|8|7506306313231|0|0||
594|downy libre en juague brisa fresca|25|7506339394917|0|0||
595|danup cereza 220g|9|7506443100527|0|0||
596|agua skarch frutale jamaica 1lt|9|7508304495667|0|0||
597|agua skarch frutale manzana 1lt|9|7508304495674|0|0||
598|agua skarch frutale naranja 1lt|9|7508304495681|0|0||
599|colgate|22|7509546000343|0|0||
600|suavitel fresca primavera|21|7509546016306|0|0||
601|suavitel fresco aroma /sol|21|7509546016313|0|0||
602|axion 400ml|20|7509546017143|0|0||
603|shampoo caprice 220ml|22|7509546027029|0|0||
604|suavitel abrazo de sol|35|7509546032863|0|0||
605|shampoo caprice control caspa 750ml|35|7509546072326|0|0||
606|jabon palmolibe neutro balance|13|7509546074979|0|0||
607|downy libre enjuague pureza silvestre|27|7590002040003|0|0||
608|cloretsplus 6 pastillas|5|7622210604798|0|0||
609|trident sweetmint|10|7622210938367|0|0||
